,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
G1,-0.11,0.1,0.01,0.06,0.04,-0.26,0.04,0.19,-0.22,-0.2,0.12,0.21,-0.26,-0.3,0.22,0.58,-0.36,0.13
G2,-0.14,-0.71,0.1,-0.32,-0.4,-0.58,0.11,0.21,0.09,0.57,-0.14,0.29,0.01,0.04,0.05,0.55,-0.08,0.33
G3,-0.02,-0.48,-0.11,0.12,-0.03,0.19,0.13,0.76,0.07,0.04,-0.06,0.3,-0.47,-0.16,-0.11,0.23,-0.45,0.02
G4,-0.05,-0.53,-0.47,-0.06,0.11,-0.07,0.25,0.46,0.12,0.49,-0.42,0.28,-0.3,-0.18,-0.3,0.68,-0.24,0.22
G5,-0.6,-0.45,-0.13,0.35,-0.01,0.49,0.18,0.43,-0.23,-0.3,-0.24,0.23,0.04,0.09,0.18,0.16,-0.01,-0.21
G6,-0.28,-0.22,-0.06,0.22,0.25,0.13,0.34,0.44,-0.32,0.26,-0.77,0.31,-0.09,0.02,-0.45,0.47,-0.49,0.22
G7,-0.03,-0.27,0.17,-0.12,-0.27,0.06,0.23,0.11,0.03,-0.27,-0.24,0.36,-0.11,0,-0.27,0.46,0.23,-0.06
G8,-0.05,0.13,0.13,-0.21,-0.45,-0.21,0.06,0.32,0,0.26,-0.5,0.31,0.1,-0.14,-0.71,0.51,0.31,0.13
G9,-0.31,-0.43,-0.3,-0.23,-0.13,-0.07,0.08,0.12,-0.01,-0.13,0.12,0.47,-0.3,-0.41,1.04,0.54,-0.16,0.07
G10,0.02,-0.33,-0.49,-0.3,-0.15,-0.24,0.4,0.53,0.25,0.49,-0.3,0.13,-0.12,-0.35,-0.19,0.47,0.06,0.13
